"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants","Remittances","labourforce_female","labourforce_male","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","FGM_law","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Guyana",238880,281658,520538,45.890982022446,54.109017977554,8398,7301,15699,53.4938531116632,46.5061468883368,"7.351682081594384",40.2538505819749,59.7461494180251,0,0.75,10.2,19.5,1,0,0.25,31.9,50.9,0,0.5,0.7,3.51863865527051
"Haiti",856250,729794,1586044,53.9865224420003,46.0134775579997,10426,8330,18756,55.5875453188313,44.4124546811687,"20.466538525739541",47.8715863557461,52.1284136442539,0.25,0.75,58.9,20.8,1,1,0.25,2.5,51.3,0,1,6.7,5.58154632694252
"Honduras",328710,472028,800738,41.0508805626809,58.9491194373191,20440,18493,38933,52.5004494901497,47.4995505098503,"21.528380342442318",36.2758730745441,63.7241269254559,0,0.25,12.4,21.6,1,0,0,21.1,65.7,0,0.5,27.3,3.56753872613223
"Hungary",315888,316381,632269,49.9610134294106,50.0389865705894,253884,258159,512043,49.5825545901418,50.4174454098582,"2.983430196159357",44.8298692831379,55.1701307168621,0.5,0.75,8.7,21,1,0,0.5,10.1,71.2,0,0.5,0.7,3.99161980071053
"Iceland",20783,21405,42188,49.2628235517209,50.7371764482791,27554,24850,52404,52.5799557285703,47.4200442714297,"0.74363039051925439",45.8297697107922,54.1702302892078,0,0.25,9.9,22.4,0.75,0,0,38.1,85.8,0,0.5,0.5,3.51376366718252
"India",11444272,6069261,17513533,65.3453075401748,34.6546924598252,2640513,2514224,5154737,51.2249800523286,48.7750199476714,"2.9429822038789819",23.3574942512785,76.6425057487215,0.5,0.5,22.1,28.7,1,0,0.25,11.8,58,0.25,0.5,21.5,4.44691265334738
"Indonesia",2492075,2040973,4533048,54.9757028824755,45.0242971175245,205451,147684,353135,58.1791666076713,41.8208333923287,"1.0424802459520579",39.4659002183875,60.5340997816125,1,0.75,34.5,18.3,1,0,0.25,19.8,81.2,1,0.5,13.8,6.55954257535784
"Iraq",1039132,994657,2033789,51.0934025112733,48.9065974887267,214288,153774,368062,58.2206258728149,41.7793741271851,"0.36775139119737316",13.8463560331848,86.1536439668152,1,0.75,54.8,21.2,1,0.75,0.25,25.3,29.7,0.75,0.5,20.3,6.59132456654319
"Ireland",372450,444458,816908,45.5926493558638,54.4073506441362,414452,419112,833564,49.7204773718635,50.2795226281365,"0.14692067349964449",45.9227304680475,54.0772695319525,0,0.25,1,15,0,0,0,22.2,61.5,0,0.5,0.3,1.63064704392278
"Israel",190683,179357,370040,51.5303750945844,48.4696249054156,887768,1068578,1956346,45.3788849211745,54.6211150788255,"0.23688691910041104",47.6041004546418,52.3958995453582,0.25,0.75,1.5,20.4,1,0.5,0.25,27.5,68.8,0.75,0.5,2.5,5.22912142259872
"Italy",1645383,1433314,3078697,53.4441356197118,46.5558643802882,2908119,3365603,6273722,46.353966592718,53.646033407282,"0.51998729405761712",42.7511103957436,57.2488896042564,0,0.75,5.3,19,0.25,0,0,31,59.2,0,0.5,0.2,2.82435420753033
"Jamaica",473877,637682,1111559,42.6317451435326,57.3682548564674,11920,11548,23468,50.7925686040566,49.2074313959434,"16.187098476382321",45.3279344931157,54.6720655068843,0,0.75,4.9,19.7,1,0,0.5,17.5,66.6,0,0.75,3.8,3.78336378318967
"Japan",378889,460068,838957,45.1619093708021,54.8380906291979,1208168,1290723,2498891,48.3481672469908,51.6518327530092,"0.085661735928472718",44.4404792669486,55.5595207330514,0,0.75,8.9,15.4,1,0,0.5,10.1,66.1,0,0.5,0.6,3.28587621030348
"Jordan",500347,284081,784428,63.7849490329259,36.2150509670741,1685358,1661345,3346703,50.3587560652977,49.6412439347023,"10.340347603546531",16.51910409376,83.48089590624,1,0.75,18,23.6,1,0.75,0.25,15.4,75.9,0.75,0.5,11.3,6.63046285446605
"Kazakhstan",1865459,2140177,4005636,46.5708566629619,53.4291433370381,1836893,1868663,3705556,49.5713193917458,50.4286806082542,"0.27857314280511569",50.2328132812447,49.7671867187553,0,0.75,14.2,16.5,1,0,0.5,27.1,66.1,0.25,0.5,6.5,4.12797832204443
"Kenya",247290,278253,525543,47.0541896666876,52.9458103333124,522321,522533,1044854,49.9898550419484,50.0101449580516,"2.8274559777795827",49.4308433332894,50.5691566667106,0.75,0.5,41.8,39.4,0.25,0,0.25,21.8,58.2,0.25,0.25,13.2,4.2306154867611
"Kuwait",124825,80616,205441,60.7595368013201,39.2404631986799,2013803,1021042,3034845,66.3560412475761,33.6439587524239,"0.018870033826468659",24.2717732014407,75.7282267985593,1,0.75,37,27.7,1,1,0.5,3.1,46.9,0.75,0.75,5.6,6.50457127797696
"Kyrgyz_Republic",362029,392952,754981,47.9520676679281,52.0479323320719,80945,119315,200260,40.4199540597224,59.5800459402776,"27.172811401797048",39.319370193782,60.680629806218,0.25,0.75,32.8,25.4,1,0,0,19.2,69,0,0.5,13.9,4.62286166701945
"Lao_PDR",596250,750841,1347091,44.2620431730299,55.7379568269701,31099,17176,48275,64.4205075090627,35.5794924909373,"1.5822183206590992",46.7574384383042,53.2425615616958,0.25,0.25,58.2,15.3,1,0,0.5,27.5,65.4,0.75,0.25,19.8,4.91535484013954
"Latvia",148961,183282,332243,44.8349551382572,55.1650448617428,93396,143870,237266,39.3634149014187,60.6365850985813,"3.3269657966926638",49.8458843849735,50.1541156150265,0,0.75,2,32,1,0,0.5,16,75.4,0,0.5,0.7,3.78583240094256
"Lebanon",499630,344873,844503,59.1626080665196,40.8373919334804,895875,967998,1863873,48.065238350467,51.934761649533,"14.187483000262132",31.3859296732971,68.6140703267029,0.75,0.75,43.6,10.4,1,1,0.5,3.1,56.1,0.75,0.75,3.4,6.21247132784538
"Lesotho",176043,165538,341581,51.537702623975,48.462297376025,3751,3177,6928,54.1426096997691,45.8573903002309,"22.156118574292407",45.3166623836582,54.6833376163418,0.5,0.75,37.1,62,1,0.75,0.25,22.1,63.2,0,0.5,18.3,6.35353407369407
"Liberia",109448,109900,219348,49.8969673760417,50.1030326239583,53857,40591,94448,57.0229120786041,42.9770879213959,"10.430306562088434",47.9135636575573,52.0864363424427,0.5,0.75,42.5,38.5,1,0.75,0.25,9.9,66.8,0.75,0.5,15.7,6.55333386331671
"Libya",98609,82002,180611,54.5974497677329,45.4025502322671,582673,235543,818216,71.2126137841352,28.7873862158648,"0",35.6713954255267,64.3286045744733,0.25,0.75,25.1,26.3,1,0.75,0.25,16,35.2,0.75,0.5,0.9,4.96039904415057
"Lithuania",273752,336490,610242,44.8595802976524,55.1404197023476,49293,67925,117218,42.0524151580815,57.9475848419185,"2.3815604521027804",49.8131972055848,50.1868027944152,0,0.5,2,24,1,0,0.5,21.3,59.7,0,0.5,0,3.07832216698631
"Luxembourg",37164,38308,75472,49.2421030315879,50.7578969684121,148670,143053,291723,50.9627283416117,49.0372716583883,"3.0064245984744575",45.9234698563199,54.0765301436801,0,0.75,2,22,1,0,0,28.3,56,0,0.5,1.1,3.47010822903498
