"country","Inheritance_law","Violence_against_women_law","Violence_against_women_attitudes","percentage_violence","Citizenship_rights","Inequality_voting_rights","percentage_women_parliament","Insecurity_feeling","Access_to_justice","Child_marriage_law","Girls_married","total"
"Angola",0.5,0.75,25.2,34.8,0,0.25,30.5,52.4,0.25,0.5,24.7,5.28241850569128
"Bangladesh",1,0.75,28.3,53.3,0.75,0.25,20.3,66.9,0.75,0.5,45.2,7.93190596174024
"Bhutan",0,0.5,68.4,26.5,0,0.5,8.5,69,0,0.25,16.3,4.19515781772155
"Bolivia",0.25,0.25,16.1,64.1,0,0.25,53.1,63.9,0.25,0.5,12,5.17587344666186
"Cambodia",0.25,0.5,50.4,20.9,0.25,0.5,20.3,71.1,0.75,0.5,16.6,5.62412536505746
"Cameroon",0.25,0.75,36.1,51.1,0.75,0.25,31.1,57.2,0.25,1,22.3,6.30057436302462
"Cabo_Verde",0,0.5,17.3,12.6,0,0.25,23.6,55.3,0.25,0.5,10.6,3.55675486264519
"Congo,_Rep.",0.25,0.75,54.2,22.5,1,0.25,11.3,51.4,0.25,0.5,22.2,5.80297603645736
"Cote_dIvoire",0.25,0.75,47.9,25.9,0,0.25,10.6,32.1,0.25,0.5,22.6,3.5841846482084
"Djibouti",1,0.5,63,15,0.25,0.25,10.8,58.5,0.75,0.5,2.6,4.95439349557371
"Egypt,_Arab_Rep.",1,0.75,35.7,45.3,1,0.25,14.9,61,0.75,0.25,14.8,6.27408282148833
"El_Salvador",0.25,0.5,7.7,26.3,0,0.25,32.1,64.3,0.25,0.25,21,4.2316432818888
"Georgia",0.25,0.75,8.6,6.1,0,0.25,16,66.3,0,0.5,14.4,3.79497493929336
"Ghana",0.75,0.75,28.3,24.4,0,0.5,12.7,46.8,0.25,0.5,8,3.79980832358491
"Honduras",0,0.25,12.4,21.6,0,0,21.1,65.7,0,0.5,27.3,3.56753872613223
"India",0.5,0.5,22.1,28.7,0,0.25,11.8,58,0.25,0.5,21.5,4.44691265334738
"Indonesia",1,0.75,34.5,18.3,0,0.25,19.8,81.2,1,0.5,13.8,6.55954257535784
"Kenya",0.75,0.5,41.8,39.4,0,0.25,21.8,58.2,0.25,0.25,13.2,4.2306154867611
"Kyrgyz_Republic",0.25,0.75,32.8,25.4,0,0,19.2,69,0,0.5,13.9,4.62286166701945
"Lao_PDR",0.25,0.25,58.2,15.3,0,0.5,27.5,65.4,0.75,0.25,19.8,4.91535484013954
"Lesotho",0.5,0.75,37.1,62,0.75,0.25,22.1,63.2,0,0.5,18.3,6.35353407369407
"Mauritania",1,0.75,26.6,78,1,0.25,25.2,44,0.75,0.5,29.3,7.60594191213576
"Moldova",0,0.25,11.2,45.5,0,0,22.8,57.8,0,0.5,11.5,3.48945428187949
"Mongolia",0,0.25,10.1,31.2,0,0.25,17.1,65.4,0.25,0.5,5.3,3.38945677217467
"Morocco",1,0.75,22,30,1,0.25,20.5,70.6,0.75,0.5,11.3,7.0503663394687
"Myanmar",0.25,0.75,51.2,33,0.5,0.5,10.2,68.5,0.75,0.5,12.9,6.07977570694281
"Nicaragua",0,0.25,13.7,22.5,0,0,45.7,60.5,0,0.5,30.4,4.0834561516873
"Nigeria",0.75,0.75,34.7,16.2,0.75,0.5,5.6,47.9,0.25,0.5,30.4,5.11307776358656
"Palestinian_Authority_or_West_Bank_and_Gaza_Strip",1,0.75,38.7,38.5,1,0.25,12.9,67.6,0.75,0.75,9.3,7.44348093986415
"Pakistan",1,0.5,42.2,85,0.75,0.25,20.6,52.4,0.75,1,13.4,7.88521471881069
"Papua_New_Guinea",0.5,0.75,30.8,24,0,0.25,0,70.2,0.25,1,13.2,5.17441501660351
"Philippines",0.5,0.75,12.9,16.9,0.75,0,29.5,61,0.25,0.5,4.8,4.52063621341099
"Sao_Tome_and_Principe",0,0.5,19.1,27.9,0,0.5,18.2,74,0.25,0.5,18.7,4.30270803981017
"Solomon_Islands",0.25,0.5,76.7,63.5,1,0.5,2,32.1,0.25,0.75,10.2,5.91389563169153
"Sri_Lanka",1,0.5,53.2,16.6,0,0.25,5.8,68.1,0.25,0.5,10.6,5.09340612479616
"Sudan",1,0.75,34,29.8,0.75,0.25,30.5,46.9,0.75,0.75,21.2,6.40180477896394
"Eswatini",0.75,0.75,19.9,8.2,0.75,0.25,6.2,52.4,0.75,0.5,4,5.29458358921792
"Timor-Leste",0.25,0.5,86.2,58.8,0,0.25,32.3,67.3,0.75,0.75,8,6.83139302616695
"Tunisia",1,0.5,18.6,20.3,1,0.25,31.3,62.2,0.75,0.5,3.8,6.38877131110164
"Ukraine",0,0.75,2.9,13.2,0,0.25,12.3,73.6,0.25,0.5,7.2,3.74967271363299
"Uzbekistan",0.25,0.75,41.5,27.9,0,0.25,16,74.2,0,1,5,5.16152522773233
"Vietnam",0.25,0.75,28.2,34.4,0,0,26.7,69,0,0.25,10.3,4.53591313249
"Zambia",0.5,0.5,46.9,42.7,0,0.5,18,62.4,0.75,0.5,18.6,5.49708829651647
"Kosovo",0.25,0.75,7.5,27.9,0,0.25,31.7,72.4,0,0.5,4.4,4.40280304975464
"Afghanistan",0.75,0.75,80.2,60.8,0,0.25,27.7,62,0.75,1,35,8.21941796236586
"Benin",0.5,0.5,36,68.6,0.75,0.5,7.2,46.9,0.25,0.5,16.6,4.91129937698097
"Burkina_Faso",0.25,0.75,43.5,11.5,0,0,11,38.2,0,1,32.4,3.86474036521938
"Burundi",1,0.5,72.9,46.7,1,0,36.4,61,0.25,0.5,9.9,6.40578401677782
"Central_African_Republic",0.25,0.25,79.6,29.8,1,0.5,8.6,54.9,0.25,0.5,60.9,5.74634103899437
"Chad",0.5,0.75,73.5,28.6,0,0.25,12.8,36,0.75,0.5,40.5,5.30013567835557
"Comoros",1,0.75,39,6.4,1,0.5,6.1,52.6,0.25,0.5,19.6,5.90124720965376
"Congo_Dem_Rep.",0.25,0.75,74.8,50.7,0,0.25,8.9,44.1,0.25,0.25,23.9,4.43063569676392
"Eritrea",0.5,0.75,51.4,44.2,0.25,0.25,22,58,0.75,0.5,31.1,6.43518937793436
"Ethiopia",0.25,0.5,63,28,0,0.5,38.8,66.1,0.25,0.5,22.5,4.85123105541198
"Gambia,_The",1,0.5,58.4,20.1,0,0.5,10.3,68.4,0.75,0.5,25.5,5.40388378498451
"Guinea",0.75,0.75,92.1,80,1,0,21.9,48.2,0.25,1,34.3,8.05081527442312
"Guinea-Bissau",0.75,0.75,41.8,26,0,0.5,13.7,46.8,0.25,0.5,11.8,4.64598609987425
"Haiti",0.25,0.75,58.9,20.8,1,0.25,2.5,51.3,0,1,6.7,5.58154632694252
"Liberia",0.5,0.75,42.5,38.5,0.75,0.25,9.9,66.8,0.75,0.5,15.7,6.55333386331671
"Madagascar",0.25,0.5,45.2,30,0.75,0.5,19.2,64.4,0.75,0.5,39.9,6.52664591461751
"Malawi",0.5,0.5,16.3,37.5,1,0.25,16.7,69.5,0.25,0.25,26.9,5.72285623944054
"Mali",0.5,0.75,72.6,34.6,0,0.25,8.8,47.6,0.75,1,44,6.88057963719452
"Mozambique",0.25,0.75,22.9,21.7,0.75,0.5,39.6,49.3,0,0.5,41,5.49706869061167
"Nepal",0.25,0.25,42.9,25,0.75,0.25,32.7,71.5,0.25,0.5,24.5,5.67964896550379
"Niger",1,0.75,59.6,29.8,0,0.25,17,46.6,0.75,0.5,61.9,6.3712807541582
"Rwanda",0.25,0.5,41.4,34.4,0,0.25,61.3,77.2,0.75,0.25,4,5.94594937566689
"Senegal",0.5,0.5,56.5,78,0,0,41.8,55.4,0,1,25,5.99010497594552
"Sierra_Leone",0.5,0.5,62.8,45.3,0.75,0.25,12.4,55.6,0.25,0.5,19,6.03933545558041
"Somalia",0.5,0.5,75.7,85,1,0.25,24.4,66.8,0.75,0.5,28,8.10988544512748
"Syrian_Arab_Republic",1,0.75,34.5,16.2,0.75,0.5,13.2,62,0.75,1,9.8,6.89506683184281
"Tajikistan",0.25,0.75,59.6,20.3,0,0.5,19,62.6,0.25,0.5,14.3,5.08320375372717
"Tanzania",1,0.75,58,41.7,0.75,0.25,37.2,62.4,0.25,1,25.3,7.54652542857119
"Togo",0.25,0.75,28.7,22.1,1,0.25,17.6,42.4,0.75,0.5,13.8,4.90435890630668
"Uganda",0.5,0.75,58.3,49.9,0,0.25,34.3,62.7,0.25,0.5,22.8,5.82395088958989
"Yemen",1,0.75,48.7,67,1,0.5,0,68,0.75,0.75,17.2,7.99054216420057
"Zimbabwe",0.25,0.5,38.7,35.4,0.25,0.25,32.6,70.5,0.75,0.5,22.9,5.06260048365442
"South_Sudan",0.25,0.75,78.5,78,0.25,0.25,28.5,52.6,0.25,0.75,40.1,6.65185869609022
