"country","male_emigrants","female_emigrants","total_emigrants","male_percent_emigrants","female_percent_emigrants","male_immigrants","female_immigrants","total_immigrants","male_percent_immigrants","female_percent_immigrants"
"Lithuania",273752,336490,610242,44.8595802976524,55.1404197023476,49293,67925,117218,42.0524151580815,57.9475848419185
"Luxembourg",37164,38308,75472,49.2421030315879,50.7578969684121,148670,143053,291723,50.9627283416117,49.0372716583883
"Madagascar",71206,113570,184776,38.5363900073603,61.4636099926397,19897,15037,34934,56.9559741226312,43.0440258773688
"Malawi",200448,124095,324543,61.7631561919376,38.2368438080624,117932,129720,247652,47.6200474859884,52.3799525140116
"Malaysia",733326,955989,1689315,43.4096660480727,56.5903339519273,2097159,1333221,3430380,61.1348888461337,38.8651111538663
"Maldives",1420,1633,3053,46.5116279069767,53.4883720930233,60709,8540,69249,87.6676919522304,12.3323080477696
"Mali",719864,544845,1264709,56.9193387569789,43.0806612430211,237428,230802,468230,50.7075582512868,49.2924417487132
"Malta",54259,56907,111166,48.8089883597503,51.1910116402497,45986,38963,84949,54.133656664587,45.866343335413
"Marshall_Islands",4005,4200,8205,48.8117001828154,51.1882998171846,2019,1277,3296,61.2560679611651,38.7439320388349
"Martinique",6260,7662,13922,44.9648039074846,55.0351960925154,26953,34694,61647,43.7215111846481,56.2784888153519
"Mauritania",79112,49397,128509,61.5614470581827,38.4385529418173,97766,75221,172987,56.5163856243533,43.4836143756467
"Mauritius",85194,103212,188406,45.2183051495175,54.7816948504825,15979,12870,28849,55.3884016777011,44.6115983222989
"Mayotte",3230,3387,6617,48.813661780263,51.186338219737,34537,40106,74643,46.2695765175569,53.7304234824431
"Mexico",6277778,5518713,11796491,53.2173338664862,46.7826661335138,531912,528795,1060707,50.1469303021475,49.8530696978525
"Micronesia_(Fed._States_of)",10836,10983,21819,49.6631376323388,50.3368623676612,59558,58420,117978,50.482293308922,49.517706691078
"Monaco",14899,16554,31453,47.3690903888341,52.6309096111659,12851,13660,26511,48.4742182490287,51.5257817509713
"Mongolia",35153,38341,73494,47.831115465208,52.168884534792,14114,7014,21128,66.8023475956077,33.1976524043923
"Montenegro",71753,81263,153016,46.8924818319653,53.1075181680347,27982,42985,70967,39.4295940366649,60.5704059633351
"Montserrat",10009,12831,22840,43.8222416812609,56.1777583187391,709,666,1375,51.5636363636364,48.4363636363636
"Morocco",1647038,1489302,3136340,52.5146508350498,47.4853491649502,49479,49095,98574,50.1947775275428,49.8052224724572
"Mozambique",653071,360350,1013421,64.4422209525952,35.5577790474048,161731,172934,334665,48.3262366844456,51.6737633155544
"Myanmar",2324597,1374907,3699504,62.8353692819362,37.1646307180638,41652,34346,75998,54.8067054396168,45.1932945603832
"Namibia",91117,104402,195519,46.6026319692715,53.3973680307285,57938,49623,107561,53.865248556633,46.134751443367
"Nauru",1204,1217,2421,49.7315159025196,50.2684840974804,1206,908,2114,57.0482497634816,42.9517502365184
"Nepal",1399285,886135,2285420,61.2266016749657,38.7733983250343,148487,342315,490802,30.2539516953884,69.7460483046116
